IMMUN_NM,CVX,LIM,ANTIGEN,Notes
MUMPS,-1,4,-1,
RUBELLA,-1,5,-1,
RAGWEED ALLERGEN,-1,19,-1,
LYME VACCINE,-1,20,-1,
RABIES VACCINE (NOT SPECIFIED),-1,29,-1,
ANTHRAX VACCINE,-1,42,-1,
JAPANESE ENCEPHALITIS,-1,43,-1,
BCG,-1,44,-1,
CHOLERA,-1,45,-1,
PPD,-1,50,-1,
TETANUS IMMUNE GLOBULIN,-1,53,-1,
RABIES IMMUNE GLOBULIN,-1,55,-1,
IMMUNE GLOBULIN (IM),-1,56,-1,
VARICELLA ZOSTER IMMUNE GLOBULIN,-1,58,-1,
ADENOVIRUS,-1,93,ADENOVIRUS,
IMMUNE GLOBULIN (NOT SPECIFIED),-1,95,-1,
PERTUSSIS,-1,96,-1,
PLAGUE,-1,97,-1,
RUBELLA/MUMPS,-1,98,-1,
TB-NONPPD,-1,99,-1,
PALIVIZUMAB (SYNAGIS),-1,100,-1,
FLU ANTIVIRAL,-1,105,-1,
TICK BORNE ENCEPHALITIS,-1,107,-1,
HEPATITIS A IMMUNE GLOBULIN,-1,108,-1,
RHO(D) IMMUNE GLOBULIN (WINRHO),-1,115,-1,
RHO(D) IMMUNE GLOBULIN (RHOGAM),-1,116,-1,
RHO(D) IMMUNE GLOBULIN (NOT SPECIFIED),-1,117,-1,
TYPHOID (NOT SPECIFIED),-1,147,TYPHOID,
"RABIES VACCINE, IM",-1,148,-1,
"RABIES VACCINE, ID",-1,149,-1,
DENGUE FEVER,-1,160,DENGUE,
"MONKEYPOX, INTRADERMAL",-1,168,MKYPOX,
DPT,1,6,DTAP,
DTP,1,23,DTAP,
OPV,2,12,OPV,
MMR,3,11,MMR,
MEASLES/RUBELLA,4,26,MMR,
MEASLES,5,10,MEASLES,
"HEPATITIS B, PED/ADOL (3 DOSE)",8,3,PEDHEPB,
HEPATITIS B PED,8,38,PEDHEPB,
TD (7+ YO)(TDVAX),9,161,TD,
IPV,10,13,IPV,
DIPHTHERIA ANTITOXIN,12,156,OTHER,
Influenza Legacy,15,999,INFLUENZA,
"FLU VACCINE, WHOLE, IM (90659)",16,34,INFLUENZA,
HIB (NOT SPECIFIED),17,131,HIB4,
DTAP,20,21,DTAP,
VARICELLA,21,16,VARICELLA,
DTP/HIB,22,24,DTAP&HIB4,
"TYPHOID, ORAL",25,75,TYPHOIDORAL,
"DIPHTHERIA/TETANUS (PEDIATRIC, <7 YO)",28,7,DT,
HEPATITIS B IMMUNE GLOBULIN,30,54,HBIG,
HepA - Histoic,31,999,HEPA,
MENINGOCOCCAL (MENOMUNE) POLYSACCHARIDE,32,40,MPS,
PNEUMOCOCCAL POLYSACCHARIDE,33,28,PPV23,
TETANUS,35,1,TD,
YELLOW FEVER,37,41,YELLOWFEVER,
